AAL,American Airlines Group
AAPL,Apple Inc. - Common Stock
ABCL,AbCellera Biologics Inc. - Common Shares
ABSI,Absci Corporation - Common Stock
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock
ACB,Aurora Cannabis Inc. - Common Shares
ACCD,Accolade
ACVA,ACV Auctions Inc. - Class A Common Stock
ADGI,Adagio Therapeutics
ADPT,Adaptive Biotechnologies Corporation - Common Stock
AEHR,Aehr Test Systems - Common Stock
AERI,Aerie Pharmaceuticals
AFIN,American Finance Trust
AFMD,Affimed N.V. - Common Stock
AGNC,AGNC Investment Corp. - Common Stock
AHCO,AdaptHealth Corp.  - Common Stock
AKTS,Akoustis Technologies
ALDX,Aldeyra Therapeutics
ALHC,Alignment Healthcare
ALLK,Allakos Inc. - Common Stock
ALLO,Allogene Therapeutics
ALTO,Alto Ingredients
AMKR,Amkor Technology
AMRS,Amyris
ANGI,Angi Inc. - Class A Common Stock
API,Agora
APPH,AppHarvest
ARCC,Ares Capital Corporation - Closed End Fund
ARCT,Arcturus Therapeutics Holdings Inc. - Common Stock
ARRY,Array Technologies
ARVL,Arrival - Ordinary Shares
ASTR,Astra Space
ASTS,AST SpaceMobile
ATAI,ATAI Life Sciences N.V. - Common Shares
ATEC,Alphatec Holdings
ATRA,Atara Biotherapeutics
ATRS,Antares Pharma
AUPH,Aurinia Pharmaceuticals Inc - Common Shares
AUR,Aurora Innovation
AVEO,AVEO Pharmaceuticals
AVIR,Atea Pharmaceuticals
AVPT,AvePoint
AVXL,Anavex Life Sciences Corp. - Common Stock
BASE,Couchbase
BBBY,Bed Bath & Beyond Inc. - Common Stock
BBIO,BridgeBio Pharma
BCRX,BioCryst Pharmaceuticals
BCTX,BriaCell Therapeutics Corp. - Common Shares
BDSI,BioDelivery Sciences International
BFRI,Biofrontera Inc. - Common Stock
BGCP,BGC Partners
BGFV,Big 5 Sporting Goods Corporation - Common Stock
BGRY,Berkshire Grey
BIRD,Allbirds
BITF,Bitfarms Ltd. - Common Stock
BLDE,Blade Air Mobility
BLDP,Ballard Power Systems
BLI,Berkeley Lights
BLMN,Bloomin' Brands
BLNK,Blink Charging Co. - Common Stock
BLU,BELLUS Health Inc. - Common Shares
BLUE,bluebird bio
BSCM,Invesco BulletShares 2022 Corporate Bond ETF
BSCN,Invesco BulletShares 2023 Corporate Bond ETF
BSCO,Invesco BulletShares 2024 Corporate Bond ETF
BSFC,Blue Star Foods Corp. - common stock
BTBD,BT Brands
BTBT,Bit Digital
BTCS,BTCS Inc. - Common Stock
BTF,Valkyrie Bitcoin Strategy ETF
BTWN,Bridgetown Holdings Limited - Class A Ordinary Shares
BYSI,BeyondSpring
BZUN,Baozun Inc. - American Depositary Shares
CAN,Canaan Inc. - American Depositary Shares
CD,Chindata Group Holdings Limited - American Depositary Shares
CDEV,Centennial Resource Development
CENX,Century Aluminum Company - Common Stock
CERS,Cerus Corporation - Common Stock
CFFN,Capitol Federal Financial
CFVI,CF Acquisition Corp. VI - Class A Common Stock
CGC,Canopy Growth Corporation - Common Shares
CGEN,Compugen Ltd. - Ordinary Shares
CGNT,Cognyte Software Ltd. - Ordinary Shares
CHNG,Change Healthcare Inc. - Common Stock
CHRS,Coherus BioSciences
CHX,ChampionX Corporation - Common Stock
CLNE,Clean Energy Fuels Corp. - Common Stock
CLOU,Global X Cloud Computing ETF
CLSK,CleanSpark
CMRX,Chimerix
CNDT,Conduent Incorporated - Common Stock
CNSL,Consolidated Communications Holdings
COMM,CommScope Holding Company
CORZ,Core Scientific
CPARU,Catalyst Partners Acquisition Corp. - Unit
CPRX,Catalyst Pharmaceuticals
CRDF,Cardiff Oncology
CRIS,Curis
