Date, Open, High, Low, Close, Adj Close, Volume
ACAXU,Alset Capital Acquisition Corp. - Unit
ACTD,ArcLight Clean Transition Corp. II - Class A Ordinary Share
AAL,American Airlines Group
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock
ADGI,Adagio Therapeutics
AFMD,Affimed N.V. - Common Stock
ABCL,AbCellera Biologics Inc. - Common Shares
ACB,Aurora Cannabis Inc. - Common Shares
AGNC,AGNC Investment Corp. - Common Stock
AAPL,Apple Inc. - Common Stock
ASTR,Astra Space
ARVL,Arrival - Ordinary Shares
ALTO,Alto Ingredients
AMRN,Amarin Corporation plc - American Depositary Shares
ARCC,Ares Capital Corporation - Closed End Fund
ANGI,Angi Inc. - Class A Common Stock
ARRY,Array Technologies
APPH,AppHarvest
ALEC,Alector
AMRS,Amyris
AUR,Aurora Innovation
ATER,Aterian
BFRI,Biofrontera Inc. - Common Stock
AUPH,Aurinia Pharmaceuticals Inc - Common Shares
BBBY,Bed Bath & Beyond Inc. - Common Stock
BBIG,Vinco Ventures
BBIO,BridgeBio Pharma
ATNF,180 Life Sciences Corp. - Common Stock
AVXL,Anavex Life Sciences Corp. - Common Stock
BCRX,BioCryst Pharmaceuticals
BITF,Bitfarms Ltd. - Common Stock
BLMN,Bloomin' Brands
BLUE,bluebird bio
BRTX,BioRestorative Therapies
CAN,Canaan Inc. - American Depositary Shares
BTBT,Bit Digital
CERS,Cerus Corporation - Common Stock
BLU,BELLUS Health Inc. - Common Shares
BLDP,Ballard Power Systems
CDEV,Centennial Resource Development
CFVI,CF Acquisition Corp. VI - Class A Common Stock
CGC,Canopy Growth Corporation - Common Shares
CLSK,CleanSpark
CLNE,Clean Energy Fuels Corp. - Common Stock
CHX,ChampionX Corporation - Common Stock
CORZ,Core Scientific
CRIS,Curis
CNDT,Conduent Incorporated - Common Stock
CRDF,Cardiff Oncology
COMM,CommScope Holding Company
DAVE,Dave Inc.  - Class A Common Stock
EVGO,EVgo Inc. - Common Stock
DNUT,Krispy Kreme
CRTX,Cortexyme
ENDP,Endo International plc - Ordinary Shares
ERIC,Ericsson - American Depositary Shares each representing 1 underlying Class B share
EDIT,Editas Medicine
DKNG,DraftKings Inc. - Class A Common Stock
CRON,Cronos Group Inc. - Common Share
DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest
FGI,FGI Industries Ltd. - Ordinary Shares
FRBK,Republic First Bancorp
FTCI,FTC Solar
FLNC,Fluence Energy
GGPI,Gores Guggenheim
FLEX,Flex Ltd. - Ordinary Shares
FOLD,Amicus Therapeutics
FCEL,FuelCell Energy
FLWS,1-800-FLOWERS.COM
GEVO,Gevo
GMVD,G Medical Innovations Holdings Ltd. - Ordinary Shares
GRAB,Grab Holdings Limited - Class A Ordinary Shares
GPRO,GoPro
GOEV,Canoo Inc.  - Class A Common Stock
GT,The Goodyear Tire & Rubber Company - Common Stock
GRWG,GrowGeneration Corp. - Common Stock
HBAN,Huntington Bancshares Incorporated - Common Stock
GRUB,Just Eat Takeaway.com N.V. - American Depositary Shares
GSM,Ferroglobe PLC - Ordinary Shares
GOGL,Golden Ocean Group Limited - Common Stock
HNST,The Honest Company
HOOD,Robinhood Markets
HUT,Hut 8 Mining Corp. - Common Shares
HTZ,Hertz Global Holdings
HLIT,Harmonic Inc. - Common Stock
HIMX,Himax Technologies
HYZN,Hyzon Motors Inc. - Class A Common Stock
HMHC,Houghton Mifflin Harcourt Company - Common Stock
HST,Host Hotels  - Common Stock
ICLN,iShares S&P Global Clean Energy Index Fund
IMMX,Immix Biopharma
INVZ,Innoviz Technologies Ltd. - Ordinary shares
IMGN,ImmunoGen
INSM,Insmed
INFN,Infinera Corporation - Common Stock
