AAPL,Apple Inc. - Common Stock
ABCL,AbCellera Biologics Inc. - Common Shares
AAL,American Airlines Group
ADGI,Adagio Therapeutics
ACB,Aurora Cannabis Inc. - Common Shares
AFMD,Affimed N.V. - Common Stock
ALKS,Alkermes plc - Ordinary Shares
AGNC,AGNC Investment Corp. - Common Stock
AEHR,Aehr Test Systems - Common Stock
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock
ALTO,Alto Ingredients
ALLO,Allogene Therapeutics
ANGI,Angi Inc. - Class A Common Stock
AMKR,Amkor Technology
APPH,AppHarvest
ALLK,Allakos Inc. - Common Stock
ARCC,Ares Capital Corporation - Closed End Fund
AMRS,Amyris
AMTX,Aemetis
AMRN,Amarin Corporation plc - American Depositary Shares
ASTL,Algoma Steel Group Inc. - Common Shares
AUR,Aurora Innovation
ASTR,Astra Space
ASTS,AST SpaceMobile
ARVL,Arrival - Ordinary Shares
ATRA,Atara Biotherapeutics
AVXL,Anavex Life Sciences Corp. - Common Stock
AUPH,Aurinia Pharmaceuticals Inc - Common Shares
ARRY,Array Technologies
AVIR,Atea Pharmaceuticals
BFRI,Biofrontera Inc. - Common Stock
BCTX,BriaCell Therapeutics Corp. - Common Shares
BBIG,Vinco Ventures
BGCP,BGC Partners
BDSI,BioDelivery Sciences International
BBBY,Bed Bath & Beyond Inc. - Common Stock
BGFV,Big 5 Sporting Goods Corporation - Common Stock
BCRX,BioCryst Pharmaceuticals
AXSM,Axsome Therapeutics
BBIO,BridgeBio Pharma
BITF,Bitfarms Ltd. - Common Stock
BLDE,Blade Air Mobility
BIRD,Allbirds
BON,Bon Natural Life Limited - Ordinary Shares
BSFC,Blue Star Foods Corp. - common stock
BLMN,Bloomin' Brands
BLDP,Ballard Power Systems
BLNK,Blink Charging Co. - Common Stock
BLUE,bluebird bio
BLI,Berkeley Lights
BTF,Valkyrie Bitcoin Strategy ETF
BTCS,BTCS Inc. - Common Stock
BTWN,Bridgetown Holdings Limited - Class A Ordinary Shares
BZUN,Baozun Inc. - American Depositary Shares
BYSI,BeyondSpring
BTBT,Bit Digital
CAN,Canaan Inc. - American Depositary Shares
CDEV,Centennial Resource Development
CD,Chindata Group Holdings Limited - American Depositary Shares
CENX,Century Aluminum Company - Common Stock
CFVI,CF Acquisition Corp. VI - Class A Common Stock
CERS,Cerus Corporation - Common Stock
CFFN,Capitol Federal Financial
CGC,Canopy Growth Corporation - Common Shares
CHNG,Change Healthcare Inc. - Common Stock
CGEN,Compugen Ltd. - Ordinary Shares
CGNT,Cognyte Software Ltd. - Ordinary Shares
CLNE,Clean Energy Fuels Corp. - Common Stock
CHX,ChampionX Corporation - Common Stock
CLOU,Global X Cloud Computing ETF
CORZ,Core Scientific
CRIS,Curis
CLSK,CleanSpark
CORT,Corcept Therapeutics Incorporated - Common Stock
CRON,Cronos Group Inc. - Common Share
CPRX,Catalyst Pharmaceuticals
CODX,Co-Diagnostics
CRDF,Cardiff Oncology
COMM,CommScope Holding Company
CNDT,Conduent Incorporated - Common Stock
CRSR,Corsair Gaming
DAVE,Dave Inc.  - Class A Common Stock
DBX,Dropbox
DADA,Dada Nexus Limited - American Depositary Shares
CRTX,Cortexyme
DCPH,Deciphera Pharmaceuticals
CVET,Covetrus
DKNG,DraftKings Inc. - Class A Common Stock
DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest
CVAC,CureVac N.V. - Ordinary Shares
DNUT,Krispy Kreme
EMBK,Embark Technology
DOGZ,Dogness (International) Corporation - Class A Common Stock
DMTK,DermTech
EH,EHang Holdings Limited - ADS
EAR,Eargo
EDIT,Editas Medicine
ENDP,Endo International plc - Ordinary Shares
