aapl	320193
msft	789019
googl	1652044
amzn	1018724
tsla	1318605
fb	1326801
brk-b	1067983
tsm	1046179
nvda	1045810
jpm	19617
jnj	200406
unh	731766
spy	884394
pg	80424
lvmuy	824046
wmt	104169
hd	354950
bac	70858
ma	1141391
baba	1577552
xom	34088
pfe	78003
tm	1094517
asml	937966
ko	21344
cvx	93410
dis	1744489
adbe	796343
pep	77476
csco	858877
abbv	1551152
nke	320187
lly	59478
cmcsa	1166691
tmo	97745
avgo	1730168
vz	732712
abt	1800
nvo	353278
orcl	1341439
wfc	72971
acn	1467373
crm	1108524
cost	909832
intc	50863
mrk	310158
dhr	313616
rds-a	1306965
nvs	1114448
t	732717
mcd	63908
pypl	1633917
qcom	804328
azn	901832
ms	895421
ups	1090727
schw	316709
nflx	1065280
bhp	811809
bbl	1171264
txn	97476
lin	1707925
ry	1000275
pm	1413329
unp	100885
sap	1000184
low	60667
ptr	1108329
nee	753308
tte	879764
intu	896878
td	947263
hsbc	1089113
mdt	1613103
hon	773840
bmy	14272
sony	313838
qqq	1067839
cvs	64803
ul	217410
amd	2488
rtx	101829
axp	4962
tmus	1283699
sny	1121404
c	831001
amgn	318154
hdb	1144967
ibm	51143
blk	1364742
rtntf	887028
ba	12927
rio	863064
jd	1549802
amat	6951
deo	835403
cat	18230
cop	1163165
lfc	1268896
amt	1053507
gs	886982
pld	1045609
bud	1668717
de	315189
shop	1594805
gsk	1131399
lmt	936468
antm	1156039
el	1001250
bp	313807
tgt	27419
chtr	1091667
mmm	66740
ge	40545
bti	1303523
now	1373715
idexy	1438656
eadsy	1378580
spgi	64040
bkng	1075531
infy	1067491
eqnr	1140625
isrg	1035267
syk	310764
mdlz	1103982
abnb	1559720
zts	1555280
mo	764180
adp	8670
mu	723125
bnpqy	310732
cni	16868
bns	9631
gild	882095
pnc	713676
pbr	1119639
usb	36104
bam	1001085
tfc	92230
snp	1123658
cb	896159
enb	895728
lrcx	707549
adi	6281
tjx	109198
cta-pa	30554
se	1703399
snow	1640147
f	37996
mufg	67088
cme	1156375
mmc	62709
cci	1051470
duk	1326160
bx	1393818
enlay	1096200
ci	1739940
sftby	1065521
shw	89800
gm	1467858
vale	917851
csx	277948
pdd	1737806
hca	860730
bmo	927971
ibn	1103838
itw	49826
bdx	10795
team	1650372
so	92122
abb	1091587
glncy	1524684
ice	1571949
cl	21665
ew	1099800
cp	16875
ntes	1110646
uber	1543151
pbcry	1463157
fis	1136893
nsc	702165
fisv	798354
atlcy	748954
regn	872589
cof	927628
fdx	1048911
eqix	1101239
ubs	1610520
pgr	80661
noc	1133421
d	715957
etn	1551182
rbgly	1420798
eog	821189
amx	1129137
atvi	718877
wm	823768
mrna	1682852
psa	1393311
apd	2969
bsx	885725
mco	1059556
cnq	1017413
aon	315293
wday	1327811
stla	1605484
san	891478
lcid	1811210
relx	929869
fcx	831259
vrtx	875320
gd	40533
cm	1045520
race	1648416
mrvl	1835632
prndy	899108
klac	319201
met	1099219
ing	1039765
njdcy	1158967
emr	32604
slb	87347
exc	1109357
ecl	31462
kdp	1418135
ilmn	1110803
chgcy	1453934
bidu	1329099
e	1002242
sq	1512673
ngg	1004315
epd	1061219
rivn	1874178
ifnny	1107457
pxd	1038357
adsk	769397
nxpi	1413447
vmw	1124610
jci	833444
mar	1048286
